"year","sex","age","deaths"
2019,"female",80,26
2020,"female",80,38
2021,"female",80,31
2022,"female",80,31
2023,"female",80,27
2024,"female",80,26
1990,"female",85,14
1991,"female",85,15
1992,"female",85,16
1993,"female",85,15
1994,"female",85,14
1995,"female",85,19
1996,"female",85,20
1997,"female",85,19
1998,"female",85,18
1999,"female",85,18
2000,"female",85,18
2001,"female",85,18
2002,"female",85,17
2003,"female",85,20
2004,"female",85,18
2005,"female",85,21
2006,"female",85,19
2007,"female",85,20
2008,"female",85,22
2009,"female",85,23
2010,"female",85,26
2011,"female",85,24
2012,"female",85,25
2013,"female",85,28
2014,"female",85,29
2015,"female",85,30
2016,"female",85,28
2017,"female",85,30
2018,"female",85,31
2019,"female",85,31
2020,"female",85,44
2021,"female",85,41
2022,"female",85,41
2023,"female",85,34
2024,"female",85,34
