"year","sex","age","deaths"
2004,"female",15,80
2005,"female",15,87
2006,"female",15,100
2007,"female",15,113
2008,"female",15,118
2009,"female",15,136
2010,"female",15,150
2011,"female",15,187
2012,"female",15,228
2013,"female",15,182
2014,"female",15,164
2015,"female",15,117
2016,"female",15,114
2017,"female",15,124
2018,"female",15,112
2019,"female",15,97
2020,"female",15,109
2021,"female",15,87
2022,"female",15,92
2023,"female",15,107
2024,"female",15,97
1990,"female",20,186
1991,"female",20,198
1992,"female",20,176
1993,"female",20,211
1994,"female",20,207
1995,"female",20,172
1996,"female",20,180
1997,"female",20,196
1998,"female",20,164
1999,"female",20,134
2000,"female",20,149
2001,"female",20,148
2002,"female",20,163
2003,"female",20,138
2004,"female",20,118
2005,"female",20,158
2006,"female",20,127
2007,"female",20,150
2008,"female",20,147
2009,"female",20,170
2010,"female",20,205
2011,"female",20,302
2012,"female",20,350
2013,"female",20,306
2014,"female",20,249
2015,"female",20,199
2016,"female",20,183
2017,"female",20,186
2018,"female",20,167
2019,"female",20,202
2020,"female",20,189
2021,"female",20,184
2022,"female",20,189
2023,"female",20,205
2024,"female",20,167
1990,"female",25,181
1991,"female",25,196
1992,"female",25,178
1993,"female",25,187
1994,"female",25,195
1995,"female",25,138
1996,"female",25,165
1997,"female",25,168
1998,"female",25,156
1999,"female",25,173
2000,"female",25,142
2001,"female",25,157
2002,"female",25,167
2003,"female",25,154
2004,"female",25,135
2005,"female",25,154
2006,"female",25,161
2007,"female",25,173
2008,"female",25,170
2009,"female",25,202
2010,"female",25,257
2011,"female",25,276
2012,"female",25,320
2013,"female",25,255
2014,"female",25,212
2015,"female",25,182
2016,"female",25,172
2017,"female",25,179
2018,"female",25,194
2019,"female",25,220
2020,"female",25,229
2021,"female",25,257
2022,"female",25,225
2023,"female",25,213
2024,"female",25,200
1990,"female",30,151
1991,"female",30,159
1992,"female",30,180
1993,"female",30,181
1994,"female",30,167
1995,"female",30,178
1996,"female",30,142
1997,"female",30,142
1998,"female",30,150
1999,"female",30,135
2000,"female",30,144
2001,"female",30,169
2002,"female",30,161
2003,"female",30,159
2004,"female",30,164
2005,"female",30,174
2006,"female",30,169
2007,"female",30,219
2008,"female",30,194
2009,"female",30,256
2010,"female",30,279
2011,"female",30,281
2012,"female",30,322
2013,"female",30,272
2014,"female",30,242
2015,"female",30,205
2016,"female",30,176
2017,"female",30,171
2018,"female",30,190
2019,"female",30,227
2020,"female",30,282
2021,"female",30,261
2022,"female",30,234
2023,"female",30,228
2024,"female",30,233
1990,"female",35,149
1991,"female",35,165
1992,"female",35,157
1993,"female",35,186
1994,"female",35,141
1995,"female",35,170
1996,"female",35,173
1997,"female",35,191
1998,"female",35,197
1999,"female",35,161
2000,"female",35,149
2001,"female",35,174
2002,"female",35,175
2003,"female",35,181
2004,"female",35,180
2005,"female",35,182
2006,"female",35,200
2007,"female",35,223
2008,"female",35,209
2009,"female",35,234
2010,"female",35,314
2011,"female",35,291
2012,"female",35,339
2013,"female",35,341
2014,"female",35,290
2015,"female",35,242
2016,"female",35,263
2017,"female",35,259
2018,"female",35,245
2019,"female",35,233
2020,"female",35,401
2021,"female",35,361
2022,"female",35,303
2023,"female",35,292
2024,"female",35,303
1990,"female",40,185
1991,"female",40,184
1992,"female",40,153
1993,"female",40,187
1994,"female",40,168
1995,"female",40,175
1996,"female",40,200
1997,"female",40,208
1998,"female",40,194
1999,"female",40,188
2000,"female",40,218
2001,"female",40,224
2002,"female",40,200
2003,"female",40,234
2004,"female",40,220
2005,"female",40,253
2006,"female",40,235
2007,"female",40,226
2008,"female",40,246
2009,"female",40,307
2010,"female",40,271
2011,"female",40,316
2012,"female",40,309
2013,"female",40,358
2014,"female",40,345
2015,"female",40,300
2016,"female",40,326
2017,"female",40,330
2018,"female",40,333
2019,"female",40,358
2020,"female",40,582
2021,"female",40,495
2022,"female",40,391
2023,"female",40,366
2024,"female",40,378
1990,"female",45,205
1991,"female",45,229
1992,"female",45,218
1993,"female",45,257
1994,"female",45,185
1995,"female",45,231
1996,"female",45,225
1997,"female",45,250
1998,"female",45,244
1999,"female",45,229
2000,"female",45,237
2001,"female",45,242
2002,"female",45,267
2003,"female",45,246
2004,"female",45,237
2005,"female",45,305
2006,"female",45,291
2007,"female",45,350
2008,"female",45,359
2009,"female",45,342
2010,"female",45,361
2011,"female",45,391
2012,"female",45,343
2013,"female",45,372
2014,"female",45,430
2015,"female",45,410
2016,"female",45,448
2017,"female",45,411
2018,"female",45,451
2019,"female",45,476
2020,"female",45,900
2021,"female",45,696
2022,"female",45,544
2023,"female",45,566
2024,"female",45,547
1990,"female",50,261
1991,"female",50,267
1992,"female",50,301
1993,"female",50,279
1994,"female",50,281
1995,"female",50,263
1996,"female",50,268
1997,"female",50,312
1998,"female",50,310
1999,"female",50,291
2000,"female",50,335
2001,"female",50,317
2002,"female",50,342
2003,"female",50,345
2004,"female",50,329
2005,"female",50,414
2006,"female",50,402
2007,"female",50,389
2008,"female",50,395
2009,"female",50,471
2010,"female",50,479
2011,"female",50,501
2012,"female",50,487
2013,"female",50,540
2014,"female",50,535
2015,"female",50,542
2016,"female",50,534
2017,"female",50,583
2018,"female",50,587
2019,"female",50,586
2020,"female",50,1113
2021,"female",50,843
2022,"female",50,736
2023,"female",50,665
2024,"female",50,732
1990,"female",55,340
1991,"female",55,332
1992,"female",55,354
1993,"female",55,379
1994,"female",55,339
1995,"female",55,309
1996,"female",55,360
1997,"female",55,360
1998,"female",55,370
1999,"female",55,397
2000,"female",55,415
2001,"female",55,430
2002,"female",55,390
2003,"female",55,453
2004,"female",55,420
2005,"female",55,420
2006,"female",55,491
2007,"female",55,512
2008,"female",55,535
2009,"female",55,509
2010,"female",55,538
2011,"female",55,560
2012,"female",55,576
2013,"female",55,619
2014,"female",55,703
2015,"female",55,723
2016,"female",55,705
2017,"female",55,751
2018,"female",55,719
2019,"female",55,727
2020,"female",55,1444
2021,"female",55,1118
2022,"female",55,883
2023,"female",55,902
2024,"female",55,861
1990,"female",60,394
1991,"female",60,436
1992,"female",60,435
1993,"female",60,447
1994,"female",60,412
1995,"female",60,442
1996,"female",60,494
1997,"female",60,448
1998,"female",60,433
1999,"female",60,506
2000,"female",60,505
2001,"female",60,495
2002,"female",60,527
2003,"female",60,535
2004,"female",60,541
2005,"female",60,553
2006,"female",60,580
2007,"female",60,578
2008,"female",60,660
2009,"female",60,652
2010,"female",60,661
2011,"female",60,673
2012,"female",60,711
2013,"female",60,714
2014,"female",60,792
2015,"female",60,817
2016,"female",60,820
2017,"female",60,784
2018,"female",60,868
2019,"female",60,935
2020,"female",60,1775
2021,"female",60,1438
2022,"female",60,1113
2023,"female",60,1116
2024,"female",60,1120
1990,"female",65,441
1991,"female",65,441
1992,"female",65,497
1993,"female",65,463
1994,"female",65,486
1995,"female",65,430
1996,"female",65,493
1997,"female",65,544
1998,"female",65,536
1999,"female",65,494
2000,"female",65,531
2001,"female",65,606
2002,"female",65,619
2003,"female",65,602
2004,"female",65,636
2005,"female",65,682
2006,"female",65,638
2007,"female",65,621
2008,"female",65,704
2009,"female",65,734
2010,"female",65,740
2011,"female",65,768
2012,"female",65,736
