"year","sex","x","n","mx","ax","qx","px","lx","dx","Lx","Tx","ex"
2019,"male",80,5,0.226236557119994,2.5,0.72252746840726,0.27747253159274,14293.5472052259,10327.4804767515,45649.0348342505,53944.9240298643,3.77407534010463
2019,"male",85,NA,0.478076145299926,NA,1,0,3966.06672847435,3966.06672847435,8295.8891956138,8295.8891956138,2.09171699912498
2021,"female",5,5,0.000284929145233793,0.0537978016066546,0.00142264077410704,0.998577359225893,1e+05,142.264077410699,499296.333107559,6419914.70816841,64.1991470816841
2021,"female",10,5,0.000306818018788673,1.52156747755754,0.00153245458825863,0.998467545411741,99857.7359225893,153.027445587693,498756.383969388,5920618.37506086,59.2905328802025
2021,"female",15,5,0.000811925474438788,2.5,0.00405140377735875,0.995948596222641,99704.7084770016,403.944032544183,497513.682303648,5421861.99109147,54.3791970701374
2021,"female",20,5,0.00166255756615057,2.5,0.00827837962405426,0.991721620375946,99300.7644444574,822.049425030011,494448.698659712,4924348.30878782,49.5902356476036
2021,"female",25,5,0.00235374253730496,2.5,0.0116998665028534,0.988300133497147,98478.7150194274,1152.18781909984,489513.105549388,4429899.61012811,44.9833206013523
2021,"female",30,5,0.00274206509724846,2.5,0.0136169788799506,0.986383021120049,97326.5272003276,1325.2932653458,483319.402838273,3940386.50457872,40.4862540350197
2021,"female",35,5,0.00392839631404298,2.5,0.019450953930898,0.980549046069102,96001.2339349818,1867.31557857869,475337.880728462,3457067.10174045,36.0106527805861
2021,"female",40,5,0.00533712732639347,2.5,0.0263342633407268,0.973665736659273,94133.9183564031,2478.94739529199,464472.223293785,2981729.22101199,31.6753968502913
2021,"female",45,5,0.0080046105332074,2.5,0.0392378435270447,0.960762156472955,91654.9709611111,3596.3434090479,449283.996282936,2517256.9977182,27.4644896105664
2021,"female",50,5,0.0111474072797694,2.5,0.0542258425197075,0.945774157480293,88058.6275520632,4775.05327013976,428355.504584967,2067973.00143526,23.484047604678
2021,"female",55,5,0.0183691832563727,2.5,0.0878132711085283,0.912186728891472,83283.5742819234,7313.40308730578,398134.363691353,1639617.4968503,19.6871653382698
2021,"female",60,5,0.0280413358247461,2.5,0.131021625613406,0.868978374386594,75970.1711946177,9953.73532804758,354966.517652969,1241483.13315895,16.3417182512141
2021,"female",65,5,0.0409877367042961,2.5,0.185890596462461,0.814109403537539,66016.4358665701,12271.8346395625,299402.592733944,886516.615505976,13.428725799402
