year,sex,mx,qx,lx,dx,Lx,Tx,ex,age,causa,sex_label
2019,female,0.041613437840914,0.188460922042435,64118.9217031536,12083.911104543,290384.830754411,826285.52793893,12.8867658093865,70,todas_causas,f
2019,female,0.064218596658903,0.276673951113119,52035.0105986106,14396.7319785306,224183.223046727,535900.697184519,10.2988486217168,75,todas_causas,f
2019,female,0.0943177808925529,0.38160788277634,37638.27862008,14363.0638155547,152283.733561513,311717.474137792,8.28192695219306,80,todas_causas,f
2019,female,0.145986757385207,1,23275.2148045253,23275.2148045253,159433.740576279,159433.740576279,6.84993637718356,85,todas_causas,f
2019,male,0.000458709729795225,0.00228834873812325,1e+05,228.834873812317,498866.404936474,6121485.64688123,61.2148564688123,5,sin_homicidios,m
2019,male,0.000584111228825734,0.00291485194496836,99771.1651261877,290.818174719825,497881.49990623,5622619.24194476,56.3551526619282,10,sin_homicidios,m
2019,male,0.00117275993277989,0.00584665784873525,99480.3469514679,581.62755129872,495947.665879093,5124737.74203853,51.5150770889316,15,sin_homicidios,m
2019,male,0.00170070375469385,0.00846751692888451,98898.7194001691,837.426580765925,492400.030548931,4628790.07615943,46.8033368301786,20,sin_homicidios,m
2019,male,0.00220182731812912,0.0109488678000836,98061.2928194032,1073.66013138494,487622.313768554,4136390.0456105,42.18167970953,25,sin_homicidios,m
2019,male,0.00258698730876507,0.0128518178198392,96987.6326880183,1246.46738608388,481821.994974882,3648767.73184195,37.6209587832606,30,sin_homicidios,m
2019,male,0.00336260889208287,0.0166728834946747,95741.1653019344,1596.28129472355,474715.123272863,3166945.73686707,33.0782033713463,35,sin_homicidios,m
2019,male,0.00523732752354269,0.0258481989087662,94144.8840072109,2433.47568806111,464640.730815902,2692230.61359421,28.5966746040921,40,sin_homicidios,m
2019,male,0.00809210616972609,0.0396582342436223,91711.4083191497,3637.11251393333,449464.260310915,2227589.8827783,24.2891252419376,45,sin_homicidios,m
2019,male,0.0144662817605026,0.0698067968233995,88074.2958052164,6148.18447263872,425001.017844485,1778125.62246739,20.1889280659122,50,sin_homicidios,m
2019,male,0.0238014969878068,0.112323798556528,81926.1113325777,9202.25202584016,386624.926598288,1353124.6046229,16.5164021898942,55,sin_homicidios,m
2019,male,0.0355353075016808,0.163179916253029,72723.8593067375,11867.0732712705,333951.613355511,966499.678024615,13.2899943325075,60,sin_homicidios,m
2019,male,0.0547455000050489,0.240774235278594,60856.786035467,14652.7461192026,267652.064879329,632548.064669104,10.3940432263455,65,sin_homicidios,m
2019,male,0.08136980943212,0.338076081373335,46204.0399162644,15620.4807585078,191968.997685053,364895.999789775,7.89749122481663,70,sin_homicidios,m
2019,male,0.133910612682557,0.501621842689145,30583.5591577566,15341.3813007063,114564.342537017,172927.002104723,5.65424714673423,75,sin_homicidios,m
2019,male,0.221707157098325,0.71322053982165,15242.1778570503,10871.034319263,49033.3034870939,58362.6595677056,3.82902365495689,80,sin_homicidios,m
2019,male,0.468536467042073,1,4371.14353778728,4371.14353778728,9329.35608061169,9329.35608061169,2.1343055884489,85,sin_homicidios,m
2019,male,0.000465818550190188,0.00232373062976769,1e+05,232.373062976767,498848.881998996,6031033.42122531,60.3103342122531,5,todas_causas,m
2019,male,0.000595082744898887,0.00296949340774662,99767.6269370232,296.259310496011,497845.573637585,5532184.53922631,55.4506978773627,10,todas_causas,m
2019,male,0.00143196442889586,0.00713428204917896,99471.3676265272,709.656792465219,495582.696151473,5034338.96558873,50.6109354451678,15,todas_causas,m
2019,male,0.00207005000200862,0.0102969619448068,98761.710834062,1016.94557806235,491266.190225154,4538756.26943725,45.956638773332,20,todas_causas,m
2019,male,0.00268321588721832,0.0133266835137714,97744.7652559996,1302.61355169458,485467.292400762,4047490.0792121,41.4087656624012,25,todas_causas,m
2019,male,0.00315519370327448,0.0156525018283492,96442.1517043051,1509.56095588156,478436.856131821,3562022.78681134,36.934294018373,30,todas_causas,m
